Nome,IdCategoria
Serie  crime,1
Serie  fantasy,2
Serie  tratte da fumetti,3
Drammi ,4
Serie  americane,5
Sitcom,6
Commedie ,7
Norvegese,8
Gialli e misteri ,9
Serie  per adolescenti,10
Programmi  scandinavi,11
Azione e avventura ,12
Fantascienza  ,13
Thriller ,14
Britannico,15
Serie e film storici,16
Horror ,17
Canadese,18
Serie  politiche,19
Spagnolo,20
Giapponese,21
Serie  tratte da manga,22
Anime shonen,23
Anime d'azione,24
Anime di fantascienza e fantasy,25
Serie anime,26
Serie  con ambientazione medica,27
Serie  tratte da libri,28
Drammi  a sfondo sociale,29
Anime horror,30
Anime tratti da videogiochi,31
Serie  giudiziaria,32
Tedesco,33
Israeliano,34
Francese,35
Commedie  romantiche,36
Film tratti da libri,37
Film crime,38
Thriller,39
Crime thriller,40
Horror,41
Musica e musical,42
 da guardare insieme alla famiglia,43
Belga,44
Polacco,45
Messicano,46
Docuserie,47
Documentari true crime,48
Anime drammatici,49
 per bambini,50
Cartoni ,51
Coreano,52
Italiano,53
Reality competitivi,54
Reality,55
Drammi coreani tratti da webtoon,56
Anime tratti da light novel,57
Drammi,58
Musica per bambini,59
Film d'azione,60
Australiano,61
Svedese,62
Programmi  in lingua hindi,63
Indiano,64
Anime gialli e thriller,65
Danese,66
Turco,67
Finlandese,68
Russo,69
Brasiliano,70
Anime ambientati a scuola,71
Film di fantascienza,72
Austriaco,73
Doc. socioculturali,74
Lussemburghese,75
Programmi  cinesi,76
Anime seinen,77
Egiziano,78
Serie  mediorientali,79
Anime tratti da libri,80
Stili di vita,81
Hip hop,82
Programmi  su cibo e viaggi,83
Argentino,84
Istruzione per bambini,85
Thailandese,86
Drammi a sfondo sociale,87
Sudafricano,88
Colombiano,89
Anime su storie d'amore,90
Film anime,91
Libanese,92
Film indipendenti,93
Documentari militari,94
Documentari storici,95
Reality su casa e giardino,96
Nuova Zelanda,97
Documentari su viaggi e avventura,98
Doc. su scienza e natura,99
 scienza e natura,100
Talk show,101
 di varietà,102
Olandese,103
Film giudiziari,104
Film basati su storie vere,105
Drammi premiati,106
Irlandese,107
Documentari politici,108
Film LGBTQ,109
Commedie,110
Malese,111
Film per famiglie,112
Film per bambini e famiglie,113
Taiwanese,114
Reality su matrimonio e amore,115
Commedie romantiche,116
Film romantici,117
Giordano,118
Temi particolari,119
Portoghese,120
Saudita,121
Nollywood,122
Standup,123
Documentari biografici,124
Film per adolescenti,125
Film documentari,126
Satira,127
