IdSerie,NumStagione,NumEpisodi,AnnoStagione,idStagione
80057918,1,13,Anno di uscita: 2016,1
80057918,2,18,Anno di uscita: 2016,2
80057918,3,26,Anno di uscita: 2017,3
80057918,4,10,Anno di uscita: 2019,4
80057918,5,16,Anno di uscita: 2020,5
80057918,6,10,Anno di uscita: 2021,6
70153404,1,24,Anno di uscita: 1994,7
70153404,2,24,Anno di uscita: 1995,8
70153404,3,25,Anno di uscita: 1996,9
70153404,4,24,Anno di uscita: 1997,10
70153404,5,24,Anno di uscita: 1998,11
70153404,6,25,Anno di uscita: 1999,12
70153404,7,24,Anno di uscita: 2000,13
70153404,8,24,Anno di uscita: 2001,14
70153404,9,24,Anno di uscita: 2002,15
70153404,10,17,Anno di uscita: 2003,16
80232926,1,6,Anno di uscita: 2020,17
80232926,2,6,Anno di uscita: 2021,18
80154285,1,10,Anno di uscita: 2016,19
80154285,2,10,Anno di uscita: 2017,20
80154285,3,10,Anno di uscita: 2018,21
81221380,1,8,Anno di uscita: 2021,22
80244953,1,8,Anno di uscita: 2021,23
80241855,1,8,Anno di uscita: 2018,24
80241855,2,8,Anno di uscita: 2020,25
80002479,1,6,Anno di uscita: 2013,26
80002479,2,6,Anno di uscita: 2014,27
80002479,3,6,Anno di uscita: 2016,28
80002479,4,6,Anno di uscita: 2017,29
80002479,5,6,Anno di uscita: 2018,30
70143836,1,7,Anno di uscita: 2008,31
70143836,2,13,Anno di uscita: 2009,32
70143836,3,13,Anno di uscita: 2010,33
70143836,4,13,Anno di uscita: 2011,34
70143836,5,16,Anno di uscita: 2012,35
80174608,1,9,Anno di uscita: 2022,36
80174608,2,8,Anno di uscita: 2021,37
80174608,3,18,Anno di uscita: 2019,38
80057281,1,8,Anno di uscita: 2016,39
80057281,2,9,Anno di uscita: 2017,40
80057281,3,8,Anno di uscita: 2019,41
70301870,1,9,Anno di uscita: 2013,42
70301870,2,10,Anno di uscita: 2014,43
70301870,3,10,Anno di uscita: 2015,44
70301870,4,20,Anno di uscita: 2016,45
70301870,5,20,Anno di uscita: 2017,46
70301870,6,20,Anno di uscita: 2019,47
80192098,1,13,Anno di uscita: 2017,48
80192098,2,9,Anno di uscita: 2017,49
80192098,3,8,Anno di uscita: 2019,50
80192098,4,8,Anno di uscita: 2020,51
80192098,5,10,Anno di uscita: 2021,52
80049714,1,10,Anno di uscita: 2015,53
80049714,2,10,Anno di uscita: 2017,54
80049714,3,5,Anno di uscita: 2021,55
70299043,1,25,Anno di uscita: 2013,56
70299043,2,12,Anno di uscita: 2017,57
70299043,3,12,Anno di uscita: 2018,58
70299043,4,10,Anno di uscita: 2019,59
70299043,5,16,Anno di uscita: 2020,60
70281562,1,22,Anno di uscita: 2013,61
70281562,2,23,Anno di uscita: 2014,62
70281562,3,23,Anno di uscita: 2015,63
70281562,4,22,Anno di uscita: 2016,64
70281562,5,22,Anno di uscita: 2017,65
70281562,6,18,Anno di uscita: 2019,66
70281562,7,13,Anno di uscita: 2020,67
80021955,1,10,Anno di uscita: 2015,68
80021955,2,10,Anno di uscita: 2016,69
80021955,3,10,Anno di uscita: 2017,70
80021955,4,10,Anno di uscita: 2018,71
80021955,5,10,Anno di uscita: 2020,72
80021955,6,7,Anno di uscita: 2022,73
80241181,1,22,Anno di uscita: 2018,74
80241181,2,18,Anno di uscita: 2019,75
80025678,1,10,Anno di uscita: 2016,76
80025678,2,10,Anno di uscita: 2017,77
80025678,3,10,Anno di uscita: 2019,78
80025678,4,10,Anno di uscita: 2020,79
80095241,1,4,Anno di uscita: 2017,80
80095241,2,8,Anno di uscita: 2018,81
80095241,3,10,Anno di uscita: 2020,82
80095241,4,10,Anno di uscita: 2021,83
70264888,1,3,Anno di uscita: 2019,84
70264888,2,6,Anno di uscita: 2017,85
70264888,3,6,Anno di uscita: 2016,86
70264888,4,4,Anno di uscita: 2013,87
70264888,5,3,Anno di uscita: 2011,88
70283264,1,13,Anno di uscita: 2014,89
70283264,2,16,Anno di uscita: 2014,90
70283264,3,16,Anno di uscita: 2016,91
70283264,4,13,Anno di uscita: 2017,92
70283264,5,13,Anno di uscita: 2018,93
70283264,6,13,Anno di uscita: 2019,94
70283264,7,16,Anno di uscita: 2020,95
80117552,1,10,Anno di uscita: 2017,96
80117552,2,10,Anno di uscita: 2018,97
80117552,3,10,Anno di uscita: 2020,98
80117552,4,14,Anno di uscita: 2022,99
81002370,1,10,Anno di uscita: 2018,100
81002370,2,10,Anno di uscita: 2019,101
81002370,3,10,Anno di uscita: 2021,102
81002370,4,10,Anno di uscita: 2021,103
80074249,1,10,Anno di uscita: 2015,104
80074249,2,10,Anno di uscita: 2017,105
80074249,3,10,Anno di uscita: 2018,106
80074249,4,10,Anno di uscita: 2020,107
80074249,5,10,Anno di uscita: 2022,108
80189685,1,8,Anno di uscita: 2019,109
80189685,2,8,Anno di uscita: 2021,110
80014749,1,11,Anno di uscita: 2013,111
80014749,2,10,Anno di uscita: 2015,112
80014749,3,10,Anno di uscita: 2017,113
80014749,4,10,Anno di uscita: 2019,114
80014749,5,10,Anno di uscita: 2021,115
70155589,1,25,Anno di uscita: 2009,116
70155589,2,23,Anno di uscita: 2010,117
70155589,3,22,Anno di uscita: 2011,118
70155589,4,13,Anno di uscita: 2013,119
70155589,5,13,Anno di uscita: 2014,120
70155589,6,13,Anno di uscita: 2015,121
80176085,1,10,Anno di uscita: 2017,122
80176085,2,10,Anno di uscita: 2018,123
80176085,3,10,Anno di uscita: 2019,124
80176085,4,16,Anno di uscita: 2020,125
80232398,1,8,Anno di uscita: 2020,126
80232398,2,8,Anno di uscita: 2022,127
70195800,1,12,Anno di uscita: 2011,128
70195800,2,16,Anno di uscita: 2012,129
70195800,3,16,Anno di uscita: 2013,130
70195800,4,16,Anno di uscita: 2014,131
70195800,5,16,Anno di uscita: 2015,132
70195800,6,16,Anno di uscita: 2016,133
70195800,7,16,Anno di uscita: 2017,134
70195800,8,16,Anno di uscita: 2018,135
70195800,9,10,Anno di uscita: 2019,136
80135674,1,13,Anno di uscita: 2016,137
80135674,2,25,Anno di uscita: 2017,138
80100172,1,10,Anno di uscita: 2017,139
80100172,2,8,Anno di uscita: 2019,140
80100172,3,8,Anno di uscita: 2020,141
70158329,1,25,Anno di uscita: 1987,142
70158329,2,22,Anno di uscita: 1988,143
70158329,3,26,Anno di uscita: 1989,144
70158329,4,26,Anno di uscita: 1990,145
70158329,5,26,Anno di uscita: 1991,146
70158329,6,26,Anno di uscita: 1992,147
70158329,7,26,Anno di uscita: 1993,148
80177342,1,10,Anno di uscita: 2018,149
80177342,2,13,Anno di uscita: 2019,150
80177342,3,11,Anno di uscita: 2020,151
80177342,4,16,Anno di uscita: 2021,152
70300800,1,12,Anno di uscita: 2014,153
70300800,2,12,Anno di uscita: 2015,154
70300800,3,12,Anno di uscita: 2016,155
70300800,4,12,Anno di uscita: 2017,156
70300800,5,12,Anno di uscita: 2018,157
70300800,6,16,Anno di uscita: 2019,158
80066080,1,16,Anno di uscita: 2016,159
80066080,2,17,Anno di uscita: 2016,160
80066080,3,18,Anno di uscita: 2017,161
80066080,4,16,Anno di uscita: 2018,162
80066080,5,15,Anno di uscita: 2020,163
70153373,1,5,Anno di uscita: 1989,164
