IdSerie,IdCategoria
8005791,1
8005791,2
8005791,3
8005791,4
8005791,5
7015340,6
7015340,7
7015340,5
8023292,8
8023292,9
8023292,2
8023292,10
8023292,11
8023292,4
8015428,1
8015428,4
8015428,5
8122138,2
8122138,3
8122138,4
8122138,5
8122138,12
8024495,13
8024495,3
8024495,5
8024495,12
8024185,14
8024185,4
8024185,5
8000247,1
8000247,15
8000247,16
8000247,4
7014383,1
7014383,14
7014383,4
7014383,5
8017460,13
8017460,14
8017460,17
8017460,5
8017460,12
8005728,13
8005728,10
8005728,17
8005728,5
7030187,18
7030187,19
7030187,16
7030187,4
7030187,12
8019209,1
8019209,20
8019209,14
8004971,4
8004971,7
8004971,5
7029904,21
7029904,22
7029904,23
7029904,24
7029904,25
7029904,26
7028156,1
7028156,6
7028156,7
7028156,5
8002195,1
8002195,4
8002195,5
8024118,27
8024118,28
8024118,29
8024118,4
8024118,5
8002567,15
8002567,19
8002567,4
8009524,30
8009524,31
8009524,24
8009524,17
8009524,26
8009524,5
7026488,15
7026488,13
7026488,14
7026488,4
7028326,13
7028326,19
7028326,28
7028326,4
7028326,5
7028326,12
8011755,1
8011755,14
8011755,4
8011755,5
8100237,4
8100237,7
8100237,5
8100237,12
8007424,15
8007424,28
8007424,16
8007424,4
8007424,12
8018968,2
8018968,28
8018968,4
8018968,5
8018968,12
8001474,13
8001474,6
8001474,7
8001474,5
8001474,12
7015558,6
7015558,7
7015558,5
8017608,4
8017608,7
8017608,5
8023239,28
8023239,16
8023239,4
8023239,5
7019580,32
7019580,4
7019580,7
7019580,5
8013567,21
8013567,22
8013567,10
8013567,23
8013567,24
8013567,26
8010017,33
8010017,9
8010017,1
8010017,13
8010017,14
8010017,4
7015832,13
7015832,5
7015832,12
8017734,1
8017734,4
8017734,7
8017734,5
7030080,6
7030080,7
7030080,5
8006608,13
8006608,3
8006608,5
8006608,12
7015337,6
7015337,7
7015337,5
8013331,9
8013331,1
8013331,3
8013331,10
8013331,4
8013331,5
8019752,15
8019752,10
8019752,4
8019752,7
8018686,13
8018686,3
8018686,5
8018686,12
8021820,1
8021820,13
8021820,3
8021820,5
8021820,12
8142362,34
8142362,1
8142362,14
8142362,4
8099408,9
8099408,1
8099408,35
8099408,28
8099408,14
8099408,4
8099408,12
8017580,9
8017580,1
8017580,28
8017580,14
8017580,4
8017580,5
7014035,6
7014035,7
7014035,5
8102569,36
8102569,10
8102569,4
8102569,7
8102569,5
8024002,27
8024002,28
8024002,4
8024002,5
8109139,21
8109139,22
8109139,23
8109139,24
8109139,25
8109139,26
8020094,9
8020094,1
8020094,20
8020094,10
8020094,14
8020094,4
7024231,28
7024231,4
7024231,7
7024231,5
8011485,9
8011485,1
8011485,28
8011485,14
8011485,4
8011485,5
8002517,1
8002517,14
8002517,4
8002517,5
8002517,12
7021948,10
7021948,4
7021948,17
7021948,5
7021948,12
8021199,28
8021199,14
8021199,4
8021199,5
7015833,13
7015833,5
7015833,12
8024154,36
8024154,4
8024154,7
8024154,5
8011370,6
8011370,7
8011370,5
8019898,4
8019898,17
8019898,5
8019898,12
6000182,37
6000182,38
6000182,39
6000182,40
6000182,41
8017939,29
8017939,4
8017939,5
7014384,10
7014384,4
7014384,7
7014384,5
7014384,42
8011749,1
8011749,3
8011749,14
8011749,5
8011749,12
8016421,43
8016421,44
8002054,1
8002054,3
8002054,4
8002054,5
8002054,12
8001829,1
8001829,3
8001829,5
8001829,12
8003641,2
8003641,45
8003641,4
8003641,5
8011137,28
8011137,45
8011137,4
8011137,5
7015746,10
7015746,4
7015746,5
8023631,10
8023631,4
8023631,5
8023631,12
8012602,13
8012602,5
8012602,12
8017745,1
8017745,13
8017745,19
8017745,14
8017745,4
8017745,5
8017745,12
8001753,6
8001753,4
8001753,7
8001753,5
8115030,2
8115030,4
8115030,5
8011364,1
8011364,19
8011364,14
8011364,4
8011364,5
8002715,36
8002715,4
8002715,7
8002715,5
7018005,9
7018005,1
7018005,28
7018005,10
7018005,4
7018005,5
7017194,6
7017194,7
7017194,5
7017194,12
8012275,41
8099849,15
8099849,4
8099849,7
8009714,1
8009714,13
8009714,28
8009714,14
8009714,4
8009714,5
8009714,12
8021970,4
8021970,7
8021970,5
8017447,13
8017447,7
8017447,5
8017447,12
7027272,1
7027272,15
7027272,14
7027272,4
8005006,21
8005006,22
8005006,23
8005006,24
